,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nfert (kg/ha)
585,maize,10,-40,50,50.0,228445.67,533.54,121884476.78,32.11
586,maize,-30,-40,-40,-40.0,296762.8,497.54,147650586.93,58.55
587,maize,50,-20,-40,-40.0,56038.51,1695.49,95012737.15,178.01
588,maize,-40,-40,50,50.0,123253.66,350.42,43190168.03,1.65
589,maize,20,0,20,20.0,29108.49,322.33,9382408.76,0.07
590,maize,30,0,10,10.0,103241.09,1189.61,122816216.71,579.59
591,maize,-30,30,-30,-30.0,1124.48,63.7,71632.45,0.0
592,maize,-20,-10,50,50.0,271.9,263.46,71632.45,0.0
593,maize,50,50,-20,-20.0,380988.5,0.19,71632.45,0.0
594,maize,40,30,-10,-10.0,518.99,138.02,71632.45,0.0
595,maize,-30,20,40,40.0,659.75,108.57,71632.45,0.0
596,maize,-40,50,-30,-30.0,380988.5,0.19,71632.45,0.0
597,maize,10,-40,-30,-30.0,159354.07,805.5,128359235.6,100.55
598,maize,-40,30,10,10.0,1210.98,59.15,71632.45,0.0
599,maize,-10,30,-10,-10.0,951.48,75.29,71632.45,0.0
600,maize,10,50,-30,-30.0,380988.5,0.19,71632.45,0.0
601,maize,-20,30,20,20.0,1037.98,69.01,71632.45,0.0
602,maize,20,0,50,50.0,53744.96,1558.07,83738173.06,60.86
603,maize,10,50,20,20.0,380988.5,0.19,71632.45,0.0
604,maize,-40,-30,30,30.0,231.71,309.15,71632.45,0.0
605,maize,-30,40,-10,-10.0,3803.97,18.83,71632.45,0.0
606,maize,30,-10,0,0.0,136596.51,914.8,124958991.69,129.9
607,maize,0,20,10,10.0,507.5,141.15,71632.45,0.0
608,maize,40,-40,-10,-10.0,90005.09,1218.13,109638064.8,144.54
609,maize,-30,-30,0,0.0,252367.68,526.25,132807346.11,42.53
610,maize,30,-40,10,10.0,150526.59,815.08,122691740.63,80.06
611,maize,-30,-20,-10,-10.0,182040.68,686.21,124918699.34,57.25
612,maize,-30,-10,50,50.0,294.55,243.19,71632.45,0.0
613,maize,-30,20,10,10.0,659.75,108.57,71632.45,0.0
614,maize,-40,10,40,40.0,502.73,142.49,71632.45,0.0
615,maize,0,10,50,50.0,508.84,199.48,101503.11,0.0
616,maize,-30,0,-10,-10.0,361.2,198.32,71632.45,0.0
617,maize,-20,-20,-20,-20.0,207251.5,643.16,133296002.75,66.44
618,maize,20,-30,0,0.0,201879.61,664.82,134214151.38,74.74
619,maize,0,-30,50,50.0,218364.71,538.61,117613410.7,29.01
620,maize,-10,50,-20,-20.0,380988.5,0.19,71632.45,0.0
621,maize,50,50,-30,-30.0,380988.5,0.19,71632.45,0.0
622,maize,50,20,20,20.0,253.75,282.29,71632.45,0.0
623,maize,-20,-20,-30,-30.0,225382.18,615.48,138719184.08,72.52
624,maize,-40,50,20,20.0,380988.5,0.19,71632.45,0.0
625,maize,0,30,10,10.0,864.98,82.81,71632.45,0.0
626,maize,-20,20,-40,-40.0,609.0,117.62,71632.45,0.0
627,maize,-10,-40,-40,-40.0,216382.94,640.63,138621882.8,80.32
628,maize,0,50,0,0.0,380988.5,0.19,71632.45,0.0
629,maize,-40,30,30,30.0,1210.98,59.15,71632.45,0.0
630,maize,30,30,-40,-40.0,605.49,118.31,71632.45,0.0
631,maize,-20,40,0,0.0,3511.36,20.4,71632.45,0.0
632,maize,0,40,-30,-30.0,2926.13,24.48,71632.45,0.0
633,maize,40,20,-40,-40.0,304.5,235.24,71632.45,0.0
634,maize,-30,30,0,0.0,1124.48,63.7,71632.45,0.0
