,crop,p,c1,c2,fertilizer subsidy (%),land area (ha),yield (kg/ha),production (kg),Nfert (kg/ha)
1225,cassava,30,30,20,20.0,380837.13,0.8,306165.45,0.0
1226,cassava,20,-40,50,50.0,77687.23,808.27,62792495.51,2.31
1227,cassava,-10,-10,30,30.0,78634.68,1684.4,132452551.1,36.98
1228,cassava,30,0,20,20.0,123102.45,1003.98,123592668.75,17.24
1229,cassava,-20,10,50,50.0,376855.78,0.81,306165.45,0.0
1230,cassava,-10,50,50,50.0,380988.5,0.8,306165.45,0.0
1231,cassava,50,-20,-30,-30.0,99725.96,1113.66,111061077.05,14.39
1232,cassava,40,10,40,40.0,425161.59,0.72,306165.45,0.0
1233,cassava,50,20,-10,-10.0,507900.08,0.6,306165.45,0.0
1234,cassava,-30,0,50,50.0,77302.61,1749.93,135274197.39,41.11
1235,cassava,-10,-10,-40,-40.0,1759.39,174.02,306165.45,0.0
1236,cassava,50,-40,20,20.0,63683.58,1716.07,109285681.7,21.84
1237,cassava,50,-10,10,10.0,205758.62,551.15,113403843.75,7.32
1238,cassava,0,20,30,30.0,380861.62,0.8,306165.45,0.0
1239,cassava,30,10,30,30.0,409705.6,0.75,306165.45,0.0
1240,cassava,-30,40,-40,-40.0,380037.51,0.81,306165.45,0.0
1241,cassava,-10,20,10,10.0,380848.94,0.8,306165.45,0.0
1242,cassava,50,10,20,20.0,434527.8,0.7,306165.45,0.0
1243,cassava,40,-30,10,10.0,107656.76,1101.63,118597442.78,17.0
1244,cassava,50,30,20,20.0,507840.5,0.6,306165.45,0.0
1245,cassava,50,10,50,50.0,434527.79,0.7,306165.45,0.0
1246,cassava,30,10,20,20.0,409705.61,0.75,306165.45,0.0
1247,cassava,-10,-10,20,20.0,78438.37,1687.72,132382285.04,37.0
1248,cassava,40,-30,-20,-20.0,97224.29,1201.15,116780956.3,17.87
1249,cassava,-40,20,50,50.0,507747.83,0.6,306165.45,0.0
1250,cassava,20,10,30,30.0,387064.94,0.79,306165.45,0.0
1251,cassava,0,20,0,0.0,380861.62,0.8,306165.45,0.0
1252,cassava,10,50,30,30.0,380988.5,0.8,306165.45,0.0
1253,cassava,40,10,-20,-20.0,425161.69,0.72,306165.45,0.0
1254,cassava,20,30,-10,-10.0,380815.5,0.8,306165.45,0.0
1255,cassava,20,20,50,50.0,380887.0,0.8,306165.45,0.0
1256,cassava,-30,50,-20,-20.0,380988.5,0.8,306165.45,0.0
1257,cassava,20,20,-40,-40.0,380887.0,0.8,306165.45,0.0
1258,cassava,40,10,-10,-10.0,425161.67,0.72,306165.45,0.0
1259,cassava,30,30,-30,-30.0,380837.13,0.8,306165.45,0.0
1260,cassava,40,-30,20,20.0,111355.09,1068.72,119006859.56,16.62
1261,cassava,0,-20,-40,-40.0,33017.25,4683.1,154623182.75,272.45
1262,cassava,-30,10,-10,-10.0,375769.6,0.81,306165.45,0.0
1263,cassava,10,0,-30,-30.0,5788.43,52.89,306165.45,0.0
1264,cassava,-20,-30,-30,-30.0,746.95,409.89,306165.45,0.0
1265,cassava,-30,-20,10,10.0,69632.92,2765.79,192589967.3,294.33
1266,cassava,20,40,50,50.0,380403.27,0.8,306165.45,0.0
1267,cassava,20,20,30,30.0,380887.0,0.8,306165.45,0.0
1268,cassava,50,-20,40,40.0,129052.38,877.29,113216941.05,11.8
1269,cassava,10,10,-20,-20.0,372306.86,0.82,306165.45,0.0
1270,cassava,-30,-10,40,40.0,2062.73,148.43,306165.45,0.0
1271,cassava,50,0,-40,-40.0,3271.72,93.58,306165.45,0.0
1272,cassava,-40,0,40,40.0,74600.82,1819.34,135724614.03,43.43
1273,cassava,-30,-10,20,20.0,74163.28,1815.97,134678010.13,42.35
1274,cassava,-40,-20,10,10.0,68083.95,1971.3,134214201.65,46.13
1275,cassava,10,-30,10,10.0,66564.23,1867.08,124280669.55,34.52
1276,cassava,-20,20,50,50.0,380836.25,0.8,306165.45,0.0
1277,cassava,50,40,-20,-20.0,507496.98,0.6,306165.45,0.0
1278,cassava,20,-30,-30,-30.0,110202.36,1140.22,125655479.6,20.68
1279,cassava,50,0,30,30.0,3271.72,93.58,306165.45,0.0
1280,cassava,40,10,0,0.0,425161.65,0.72,306165.45,0.0
1281,cassava,50,40,-40,-40.0,507496.98,0.6,306165.45,0.0
1282,cassava,-40,-30,-40,-40.0,59867.75,2180.39,130534758.87,47.75
1283,cassava,40,20,-10,-10.0,507883.17,0.6,306165.45,0.0
1284,cassava,0,10,-20,-20.0,368859.22,0.83,306165.45,0.0
1285,cassava,-20,-30,50,50.0,64581.08,2028.2,130983135.05,44.32
1286,cassava,10,40,10,10.0,380330.12,0.8,306165.45,0.0
1287,cassava,-40,40,-20,-20.0,506619.14,0.6,306165.45,0.0
1288,cassava,-20,10,-20,-20.0,376855.77,0.81,306165.45,0.0
1289,cassava,50,10,-20,-20.0,434527.86,0.7,306165.45,0.0
1290,cassava,-30,30,-40,-40.0,380707.38,0.8,306165.45,0.0
1291,cassava,-30,50,50,50.0,380988.5,0.8,306165.45,0.0
1292,cassava,-30,-40,-10,-10.0,57445.23,2270.33,130419512.15,49.96
1293,cassava,-30,40,40,40.0,380037.51,0.81,306165.45,0.0
1294,cassava,-10,0,30,30.0,7298.45,41.95,306165.45,0.0
1295,cassava,50,30,-20,-20.0,507840.5,0.6,306165.45,0.0
1296,cassava,-10,0,-20,-20.0,7298.45,41.95,306165.45,0.0
1297,cassava,-30,-40,40,40.0,56679.91,2317.14,131335152.76,52.3
1298,cassava,30,30,-10,-10.0,380837.13,0.8,306165.45,0.0
1299,cassava,-10,30,-30,-30.0,380750.63,0.8,306165.45,0.0
1300,cassava,50,-40,50,50.0,70305.48,1566.55,110136992.96,20.22
1301,cassava,30,-30,-40,-40.0,106594.51,1140.28,121547351.34,18.87
1302,cassava,-40,-10,30,30.0,2184.07,140.18,306165.45,0.0
1303,cassava,-20,-20,20,20.0,39893.04,4369.76,174322896.04,478.88
1304,cassava,-30,0,30,30.0,1468060.75,36.25,53221747.41,0.07
1305,cassava,0,0,-40,-40.0,6543.44,46.79,306165.45,0.0
1306,cassava,50,-40,10,10.0,61518.23,1774.81,109182884.72,22.59
1307,cassava,20,50,-20,-20.0,380988.5,0.8,306165.45,0.0
1308,cassava,20,40,20,20.0,380403.27,0.8,306165.45,0.0
1309,cassava,10,20,10,10.0,380874.31,0.8,306165.45,0.0
1310,cassava,-20,-10,-20,-20.0,1880.72,162.79,306165.45,0.0
1311,cassava,0,-30,-40,-40.0,75415.13,1681.24,126791051.55,32.5
1312,cassava,50,0,10,10.0,3271.72,93.58,306165.45,0.0
1313,cassava,-40,-40,10,10.0,55108.19,2384.2,131388941.49,54.19
1314,cassava,40,-20,20,20.0,132838.71,903.1,119966727.4,14.21
1315,cassava,-10,-10,10,10.0,78270.41,1689.44,132232887.29,36.92
1316,cassava,-30,-40,10,10.0,55966.59,2336.09,130742760.56,52.09
1317,cassava,-40,-30,20,20.0,63294.97,2105.96,133296604.2,48.84
1318,cassava,-40,0,-10,-10.0,1464373.43,34.31,50241481.16,0.05
1319,cassava,30,0,-30,-30.0,114712.25,1464.17,167958570.5,64.57
1320,cassava,-20,-10,30,30.0,1880.72,162.79,306165.45,0.0
1321,cassava,0,-20,0,0.0,72999.68,1757.1,128267553.66,35.33
1322,cassava,-30,40,50,50.0,380037.51,0.81,306165.45,0.0
1323,cassava,-40,40,-30,-30.0,506619.14,0.6,306165.45,0.0
1324,cassava,0,0,0,0.0,84549.27,1542.06,130380362.01,31.97
1325,cassava,-20,30,40,40.0,380729.0,0.8,306165.45,0.0
1326,cassava,20,30,30,30.0,380815.5,0.8,306165.45,0.0
1327,cassava,-40,30,-10,-10.0,507581.01,0.6,306165.45,0.0
1328,cassava,0,-30,30,30.0,64541.21,1976.46,127562992.53,39.76
1329,cassava,20,-30,-10,-10.0,85207.81,1452.93,123801292.46,25.82
1330,cassava,-10,20,50,50.0,380848.94,0.8,306165.45,0.0
1331,cassava,-30,-20,-40,-40.0,47802.57,3589.27,171576116.14,273.11
1332,cassava,0,50,-40,-40.0,380988.5,0.8,306165.45,0.0
1333,cassava,10,40,30,30.0,380330.12,0.8,306165.45,0.0
1334,cassava,30,50,-30,-30.0,380988.5,0.8,306165.45,0.0
1335,cassava,-20,-40,10,10.0,57222.52,2255.37,129058079.18,48.01
1336,cassava,10,-10,40,40.0,1395.38,219.41,306165.45,0.0
1337,cassava,-10,10,20,20.0,377361.17,0.81,306165.45,0.0
1338,cassava,-30,50,-30,-30.0,380988.5,0.8,306165.45,0.0
1339,cassava,-20,0,-30,-30.0,1472521.57,40.51,59645958.86,0.1
1340,cassava,-20,50,-10,-10.0,380988.5,0.8,306165.45,0.0
1341,cassava,-40,20,-30,-30.0,507747.83,0.6,306165.45,0.0
1342,cassava,-40,-30,-30,-30.0,60517.48,2169.16,131272034.18,48.28
1343,cassava,0,0,-10,-10.0,6543.44,46.79,306165.45,0.0
1344,cassava,10,20,-10,-10.0,380874.31,0.8,306165.45,0.0
1345,cassava,10,20,20,20.0,380874.31,0.8,306165.45,0.0
1346,cassava,40,30,40,40.0,507811.67,0.6,306165.45,0.0
1347,cassava,30,-40,-30,-30.0,84838.78,1410.96,119704193.52,22.76
1348,cassava,20,-20,-10,-10.0,211799.25,619.2,131145779.62,12.16
1349,cassava,-20,-10,40,40.0,1880.72,162.79,306165.45,0.0
1350,cassava,-30,-20,-20,-20.0,48585.32,3612.11,175495649.14,312.72
1351,cassava,20,-40,20,20.0,76226.1,1622.69,123691451.81,29.1
1352,cassava,20,-40,40,40.0,77326.23,811.03,62713595.29,2.31
1353,cassava,40,-30,-30,-30.0,95041.35,1195.03,113577490.74,16.47
1354,cassava,10,-10,-40,-40.0,58743.07,2788.24,163789932.14,142.6
1355,cassava,50,-40,-20,-20.0,53948.84,2068.93,111616388.1,28.43
1356,cassava,10,-20,10,10.0,74719.32,1681.33,125627983.66,31.65
1357,cassava,-20,50,40,40.0,380988.5,0.8,306165.45,0.0
1358,cassava,30,0,30,30.0,123114.93,1004.16,123626807.64,17.26
1359,cassava,50,10,10,10.0,434527.82,0.7,306165.45,0.0
1360,cassava,40,50,-20,-20.0,380988.5,0.8,306165.45,0.0
1361,cassava,20,-20,-30,-30.0,98987.23,1253.46,124076204.0,22.12
1362,cassava,-10,-20,20,20.0,73223.52,1794.95,131432518.1,38.87
1363,cassava,-40,0,50,50.0,74659.2,1817.56,135697343.29,43.36
1364,cassava,-40,-40,-10,-10.0,54158.87,2411.37,130597077.13,53.92
1365,cassava,0,50,40,40.0,380988.5,0.8,306165.45,0.0
1366,cassava,50,20,0,0.0,507900.08,0.6,306165.45,0.0
1367,cassava,50,-20,10,10.0,116140.98,964.11,111972987.47,12.64
1368,cassava,-40,10,-20,-20.0,507817.09,0.6,306165.45,0.0
1369,cassava,10,-40,0,0.0,69481.92,1789.96,124369998.99,32.98
1370,cassava,-10,20,30,30.0,380848.94,0.8,306165.45,0.0
1371,cassava,20,40,-20,-20.0,380403.27,0.8,306165.45,0.0
1372,cassava,-30,0,40,40.0,77234.28,1751.94,135310034.83,41.2
1373,cassava,40,-20,-30,-30.0,133594.27,896.63,119784898.75,14.05
1374,cassava,0,30,50,50.0,380772.25,0.8,306165.45,0.0
1375,cassava,-10,40,50,50.0,380183.81,0.81,306165.45,0.0
1376,cassava,40,-40,20,20.0,84952.67,1378.12,117075285.16,20.86
1377,cassava,-20,0,30,30.0,1472521.57,39.98,58877698.13,0.1
1378,cassava,-20,20,-20,-20.0,380836.25,0.8,306165.45,0.0
1379,cassava,-10,10,-10,-10.0,377361.17,0.81,306165.45,0.0
1380,cassava,50,-30,40,40.0,89358.25,1248.02,111520593.41,16.41
1381,cassava,-10,20,-20,-20.0,380848.94,0.8,306165.45,0.0
1382,cassava,50,-20,-20,-20.0,104530.01,1050.38,109796345.32,13.12
1383,cassava,30,0,0,0.0,4530.07,67.59,306165.45,0.0
1384,cassava,50,10,-40,-40.0,434527.88,0.7,306165.45,0.0
1385,cassava,50,-40,40,40.0,68052.96,1612.63,109744099.13,20.66
1386,cassava,-30,-40,0,0.0,56590.8,2307.51,130584079.02,51.13
1387,cassava,40,40,-20,-20.0,507399.44,0.6,306165.45,0.0
1388,cassava,40,30,30,30.0,507811.67,0.6,306165.45,0.0
1389,cassava,0,40,20,20.0,380256.97,0.81,306165.45,0.0
1390,cassava,30,-30,-30,-30.0,110639.39,1099.87,121688765.22,18.21
1391,cassava,30,0,-40,-40.0,108315.92,1517.36,164354575.77,62.98
1392,cassava,0,50,-30,-30.0,380988.5,0.8,306165.45,0.0
1393,cassava,0,40,0,0.0,380256.97,0.81,306165.45,0.0
1394,cassava,0,-20,-10,-10.0,72740.18,1754.31,127608837.37,34.74
1395,cassava,50,30,30,30.0,507840.5,0.6,306165.45,0.0
1396,cassava,-20,40,-10,-10.0,380110.66,0.81,306165.45,0.0
1397,cassava,0,40,-10,-10.0,380256.97,0.81,306165.45,0.0
1398,cassava,-40,-20,0,0.0,80298.24,2442.5,196128158.21,251.49
1399,cassava,30,20,-30,-30.0,380899.69,0.8,306165.45,0.0
1400,cassava,20,40,30,30.0,380403.27,0.8,306165.45,0.0
1401,cassava,20,50,50,50.0,380988.5,0.8,306165.45,0.0
1402,cassava,-30,-10,-40,-40.0,2062.73,148.43,306165.45,0.0
1403,cassava,40,0,20,20.0,4026.73,76.03,306165.45,0.0
1404,cassava,50,50,50,50.0,380988.5,0.8,306165.45,0.0
1405,cassava,40,-20,-20,-20.0,139154.62,859.47,119598723.6,13.38
1406,cassava,20,-20,-20,-20.0,94212.06,1311.61,123569496.87,22.97
1407,cassava,10,40,-30,-30.0,380330.12,0.8,306165.45,0.0
1408,cassava,-30,50,40,40.0,380988.5,0.8,306165.45,0.0
1409,cassava,-10,50,10,10.0,380988.5,0.8,306165.45,0.0
1410,cassava,-40,30,0,0.0,507581.01,0.6,306165.45,0.0
1411,cassava,50,20,-20,-20.0,507900.08,0.6,306165.45,0.0
1412,cassava,30,-10,20,20.0,112084.07,1095.31,122766570.77,18.58
1413,cassava,40,50,30,30.0,380988.5,0.8,306165.45,0.0
1414,cassava,20,-10,40,40.0,1274.04,240.31,306165.45,0.0
1415,cassava,-20,50,-30,-30.0,380988.5,0.8,306165.45,0.0
1416,cassava,-20,0,-20,-20.0,1472521.57,40.42,59512690.91,0.1
1417,cassava,-30,-10,-10,-10.0,73723.82,1819.33,134128319.76,41.93
1418,cassava,-30,0,0,0.0,1468060.75,36.41,53453483.63,0.07
1419,cassava,-30,-20,30,30.0,86314.12,2376.13,205093761.53,300.46
1420,cassava,10,-20,-30,-30.0,81596.19,1517.56,123827287.62,27.11
1421,cassava,20,20,40,40.0,380887.0,0.8,306165.45,0.0
1422,cassava,30,50,10,10.0,380988.5,0.8,306165.45,0.0
1423,cassava,0,40,50,50.0,380256.97,0.81,306165.45,0.0
1424,cassava,-40,10,10,10.0,507817.09,0.6,306165.45,0.0
1425,cassava,40,-10,0,0.0,207586.78,577.61,119904769.95,8.91
1426,cassava,-20,-20,-10,-10.0,30381.47,5291.31,160757629.09,457.23
1427,cassava,-10,-10,0,0.0,78172.7,1688.2,131970941.99,36.68
1428,cassava,-40,40,-10,-10.0,506619.14,0.6,306165.45,0.0
1429,cassava,20,-10,20,20.0,93905.29,1342.87,126102495.27,24.95
1430,cassava,0,10,-30,-30.0,368859.23,0.83,306165.45,0.0
1431,cassava,0,10,40,40.0,368859.19,0.83,306165.45,0.0
1432,cassava,-20,40,40,40.0,380110.66,0.81,306165.45,0.0
1433,cassava,20,-40,10,10.0,85801.7,1450.53,124457690.75,26.16
1434,cassava,0,-40,-30,-30.0,71797.0,1769.61,127052942.51,34.64
1435,cassava,40,0,-30,-30.0,4026.73,76.03,306165.45,0.0
1436,cassava,-30,40,30,30.0,380037.51,0.81,306165.45,0.0
1437,cassava,10,-40,40,40.0,64695.59,1920.55,124251061.19,35.62
1438,cassava,40,40,40,40.0,507399.44,0.6,306165.45,0.0
1439,cassava,30,20,30,30.0,380899.69,0.8,306165.45,0.0
1440,cassava,30,-40,0,0.0,93808.79,1285.8,120619534.83,21.02
1441,cassava,-10,20,20,20.0,380848.94,0.8,306165.45,0.0
1442,cassava,30,-30,0,0.0,122814.29,994.33,122118310.04,16.52
1443,cassava,-20,-40,-20,-20.0,60402.53,2130.95,128714792.91,44.56
1444,cassava,-10,30,-40,-40.0,380750.63,0.8,306165.45,0.0
1445,cassava,-10,-40,30,30.0,60584.54,2130.64,129083791.63,44.93
1446,cassava,-30,10,40,40.0,375769.62,0.81,306165.45,0.0
1447,cassava,-20,-40,50,50.0,55903.96,2313.85,129353277.84,49.84
1448,cassava,10,0,-40,-40.0,5788.43,52.89,306165.45,0.0
1449,cassava,40,10,20,20.0,425161.62,0.72,306165.45,0.0
1450,cassava,-30,30,10,10.0,380707.38,0.8,306165.45,0.0
1451,cassava,-30,0,-40,-40.0,1468060.75,36.63,53774350.94,0.07
1452,cassava,30,50,30,30.0,380988.5,0.8,306165.45,0.0
1453,cassava,30,-10,40,40.0,1092.03,280.36,306165.45,0.0
1454,cassava,10,30,10,10.0,380793.88,0.8,306165.45,0.0
1455,cassava,-40,40,20,20.0,506619.14,0.6,306165.45,0.0
1456,cassava,40,0,-40,-40.0,4026.73,76.03,306165.45,0.0
1457,cassava,50,-20,-10,-10.0,108271.78,1019.9,110425906.26,12.91
1458,cassava,-20,-40,-40,-40.0,63612.61,2022.48,128655167.47,41.87
1459,cassava,50,-20,50,50.0,133416.55,849.15,113291053.8,11.42
1460,cassava,-40,50,-40,-40.0,380988.5,0.8,306165.45,0.0
1461,cassava,20,20,-20,-20.0,380887.0,0.8,306165.45,0.0
1462,cassava,0,50,50,50.0,380988.5,0.8,306165.45,0.0
1463,cassava,-40,30,20,20.0,507581.01,0.6,306165.45,0.0
1464,cassava,0,20,-30,-30.0,380861.62,0.8,306165.45,0.0
1465,cassava,40,30,-40,-40.0,507811.67,0.6,306165.45,0.0
1466,cassava,-10,-10,-20,-20.0,1759.39,174.02,306165.45,0.0
1467,cassava,-30,0,10,10.0,1468060.75,36.36,53375420.23,0.07
1468,cassava,0,20,20,20.0,380861.62,0.8,306165.45,0.0
1469,cassava,-30,10,30,30.0,375769.6,0.81,306165.45,0.0
1470,cassava,-30,-10,-30,-30.0,2062.73,148.43,306165.45,0.0
1471,cassava,-40,0,30,30.0,1464373.43,34.15,50009788.98,0.05
1472,cassava,-20,0,0,0.0,1472521.57,40.24,59252631.47,0.1
1473,cassava,-10,-10,40,40.0,1759.39,174.02,306165.45,0.0
1474,cassava,-40,-10,-30,-30.0,2184.07,140.18,306165.45,0.0
1475,cassava,30,0,50,50.0,1515242.55,81.36,123287048.73,1.31
1476,cassava,-10,50,40,40.0,380988.5,0.8,306165.45,0.0
1477,cassava,-30,-20,40,40.0,1172.71,261.07,306165.45,0.0
1478,cassava,40,0,40,40.0,195895.96,623.76,122191739.91,10.14
1479,cassava,-40,20,-10,-10.0,507747.83,0.6,306165.45,0.0
1480,cassava,10,30,0,0.0,380793.88,0.8,306165.45,0.0
1481,cassava,-10,0,-10,-10.0,7298.45,41.95,306165.45,0.0
1482,cassava,20,-40,30,30.0,74333.38,1662.36,123569122.3,29.81
1483,cassava,40,50,50,50.0,380988.5,0.8,306165.45,0.0
1484,cassava,0,0,50,50.0,84621.45,1544.41,130690408.13,32.24
1485,cassava,40,30,50,50.0,507811.67,0.6,306165.45,0.0
1486,cassava,40,-30,40,40.0,120173.33,1064.78,127958052.83,20.2
1487,cassava,-30,10,10,10.0,375769.6,0.81,306165.45,0.0
1488,cassava,30,-30,50,50.0,84377.19,1427.99,120489535.37,23.48
1489,cassava,-10,-10,50,50.0,1759.39,174.02,306165.45,0.0
1490,cassava,20,30,50,50.0,380815.5,0.8,306165.45,0.0
1491,cassava,50,20,50,50.0,507900.08,0.6,306165.45,0.0
1492,cassava,30,-20,40,40.0,98382.51,1237.88,121785923.38,20.72
1493,cassava,30,-20,30,30.0,96510.14,1260.68,121668643.39,21.08
1494,cassava,50,-10,40,40.0,229145.71,502.41,115124447.43,6.93
1495,cassava,10,10,0,0.0,372306.83,0.82,306165.45,0.0
1496,cassava,10,10,40,40.0,372306.77,0.82,306165.45,0.0
1497,cassava,10,-30,-20,-20.0,75232.13,1651.59,124252279.4,30.06
1498,cassava,40,50,-40,-40.0,380988.5,0.8,306165.45,0.0
1499,cassava,0,30,-10,-10.0,380772.25,0.8,306165.45,0.0
1500,cassava,50,40,-30,-30.0,507496.98,0.6,306165.45,0.0
1501,cassava,0,-10,-30,-30.0,1577.38,194.1,306165.45,0.0
1502,cassava,-10,-20,30,30.0,73640.56,1786.69,131572645.24,38.79
1503,cassava,-30,-40,-20,-20.0,58539.16,2225.27,130265427.7,48.61
1504,cassava,0,40,10,10.0,380256.97,0.81,306165.45,0.0
1505,cassava,40,0,-20,-20.0,4026.73,76.03,306165.45,0.0
1506,cassava,-30,10,-30,-30.0,375769.6,0.81,306165.45,0.0
1507,cassava,-40,40,-40,-40.0,506619.14,0.6,306165.45,0.0
1508,cassava,-20,-20,30,30.0,1069.24,286.34,306165.45,0.0
1509,cassava,-10,-30,20,20.0,64784.46,2005.3,129912266.15,42.68
1510,cassava,-40,-20,-20,-20.0,68422.24,2731.19,186873851.68,245.5
1511,cassava,0,-20,-20,-20.0,44021.55,3745.82,164896698.64,242.95
1512,cassava,-10,40,20,20.0,380183.81,0.81,306165.45,0.0
1513,cassava,40,-10,-30,-30.0,200500.8,608.35,121975519.36,9.83
1514,cassava,40,-30,50,50.0,125395.07,1037.86,130142759.8,20.59
1515,cassava,30,-40,-20,-20.0,87892.95,1361.59,119674268.29,21.88
1516,cassava,-20,50,0,0.0,380988.5,0.8,306165.45,0.0
1517,cassava,-10,10,0,0.0,377361.17,0.81,306165.45,0.0
1518,cassava,0,0,30,30.0,84316.28,1551.06,130780030.24,32.46
1519,cassava,30,50,50,50.0,380988.5,0.8,306165.45,0.0
1520,cassava,20,10,-10,-10.0,387065.03,0.79,306165.45,0.0
1521,cassava,-40,10,-30,-30.0,507817.09,0.6,306165.45,0.0
1522,cassava,-10,0,40,40.0,82300.52,1616.95,133075623.61,35.79
1523,cassava,40,20,40,40.0,507883.17,0.6,306165.45,0.0
1524,cassava,-40,30,50,50.0,507581.01,0.6,306165.45,0.0
1525,cassava,40,40,30,30.0,507399.44,0.6,306165.45,0.0
1526,cassava,30,-10,-10,-10.0,131040.46,921.03,120691616.22,14.75
1527,cassava,-10,30,40,40.0,380750.63,0.8,306165.45,0.0
1528,cassava,0,10,30,30.0,368859.19,0.83,306165.45,0.0
1529,cassava,10,0,-10,-10.0,5788.43,52.89,306165.45,0.0
1530,cassava,-40,40,50,50.0,506619.14,0.6,306165.45,0.0
1531,cassava,50,-20,0,0.0,112145.4,990.58,111089106.58,12.73
1532,cassava,-10,-20,-20,-20.0,71760.74,1805.93,129594783.67,37.56
1533,cassava,-10,50,0,0.0,380988.5,0.8,306165.45,0.0
1534,cassava,40,10,-40,-40.0,425161.71,0.72,306165.45,0.0
1535,cassava,-20,50,10,10.0,380988.5,0.8,306165.45,0.0
1536,cassava,-30,-30,-20,-20.0,61787.36,2120.74,131034719.09,46.76
1537,cassava,50,-40,30,30.0,65856.02,1662.51,109486278.17,21.21
1538,cassava,-20,-10,0,0.0,1880.72,162.79,306165.45,0.0
1539,cassava,10,-10,-10,-10.0,45369.06,3640.19,165152081.42,231.86
1540,cassava,30,0,-10,-10.0,4530.07,67.59,306165.45,0.0
1541,cassava,-40,50,-10,-10.0,380988.5,0.8,306165.45,0.0
1542,cassava,-40,40,40,40.0,506619.14,0.6,306165.45,0.0
1543,cassava,-30,-30,30,30.0,71409.1,2766.48,197552163.2,339.92
1544,cassava,40,50,40,40.0,380988.5,0.8,306165.45,0.0
1545,cassava,10,10,20,20.0,372306.8,0.82,306165.45,0.0
1546,cassava,50,0,20,20.0,3271.72,93.58,306165.45,0.0
1547,cassava,-40,10,-40,-40.0,507817.09,0.6,306165.45,0.0
1548,cassava,10,10,-10,-10.0,372306.85,0.82,306165.45,0.0
1549,cassava,50,-20,30,30.0,124676.81,906.39,113005331.64,12.14
1550,cassava,-40,-10,0,0.0,2184.07,140.18,306165.45,0.0
1551,cassava,-40,20,30,30.0,507747.83,0.6,306165.45,0.0
1552,cassava,-10,30,10,10.0,380750.63,0.8,306165.45,0.0
1553,cassava,0,-20,50,50.0,75399.83,1714.48,129271483.09,35.14
1554,cassava,10,0,10,10.0,88077.55,1449.82,127696600.22,28.12
1555,cassava,10,20,30,30.0,380874.31,0.8,306165.45,0.0
1556,cassava,0,40,40,40.0,380256.97,0.81,306165.45,0.0
1557,cassava,40,30,-30,-30.0,507811.67,0.6,306165.45,0.0
1558,cassava,50,0,50,50.0,3271.72,93.58,306165.45,0.0
1559,cassava,10,0,40,40.0,88196.36,1449.23,127816465.43,28.19
1560,cassava,40,50,10,10.0,380988.5,0.8,306165.45,0.0
1561,cassava,-30,30,-20,-20.0,380707.38,0.8,306165.45,0.0
1562,cassava,30,-30,10,10.0,101186.94,1198.79,121301704.79,19.8
1563,cassava,-10,0,10,10.0,1477016.65,43.22,63843385.53,0.13
1564,cassava,50,-10,-20,-20.0,182658.29,622.69,113739732.08,8.37
1565,cassava,20,30,-30,-30.0,380815.5,0.8,306165.45,0.0
1566,cassava,40,-10,20,20.0,170643.3,711.69,121445252.94,11.44
1567,cassava,30,-20,10,10.0,94323.09,1281.0,120828330.83,21.04
1568,cassava,10,50,-20,-20.0,380988.5,0.8,306165.45,0.0
1569,cassava,-30,0,20,20.0,1468060.75,36.31,53298180.71,0.07
1570,cassava,-30,10,0,0.0,375769.6,0.81,306165.45,0.0
1571,cassava,40,-20,-40,-40.0,128022.03,936.34,119871718.71,14.73
1572,cassava,0,-40,0,0.0,65965.45,1923.96,126915053.22,37.97
1573,cassava,10,40,0,0.0,380330.12,0.8,306165.45,0.0
1574,cassava,-10,-30,10,10.0,63935.03,2026.1,129538500.96,42.82
1575,cassava,10,-40,20,20.0,66338.57,1874.02,124319728.22,34.7
1576,cassava,-10,-30,-20,-20.0,64937.02,1975.78,128301054.31,40.42
1577,cassava,50,20,40,40.0,507900.08,0.6,306165.45,0.0
1578,cassava,0,30,-40,-40.0,380772.25,0.8,306165.45,0.0
1579,cassava,50,40,-10,-10.0,507496.98,0.6,306165.45,0.0
1580,cassava,-20,10,40,40.0,376855.78,0.81,306165.45,0.0
1581,cassava,0,0,20,20.0,6543.44,46.79,306165.45,0.0
1582,cassava,-10,20,-40,-40.0,380848.94,0.8,306165.45,0.0
1583,cassava,-40,-40,0,0.0,54405.32,2407.62,130987576.3,54.32
1584,cassava,0,-10,-20,-20.0,1577.38,194.1,306165.45,0.0
1585,cassava,10,-40,50,50.0,64266.1,1932.49,124193649.1,35.82
1586,cassava,-30,-40,-40,-40.0,61365.53,2119.52,130065576.99,45.69
1587,cassava,50,-20,-40,-40.0,96852.82,1129.39,109384996.87,14.01
1588,cassava,-40,-40,50,50.0,86280.2,461.48,39816998.99,0.41
1589,cassava,20,0,20,20.0,5285.09,57.93,306165.45,0.0
1590,cassava,30,0,10,10.0,148724.78,1250.37,185961628.7,73.58
1591,cassava,-30,30,-30,-30.0,380707.38,0.8,306165.45,0.0
1592,cassava,-20,-10,50,50.0,1880.72,162.79,306165.45,0.0
1593,cassava,50,50,-20,-20.0,380988.5,0.8,306165.45,0.0
1594,cassava,40,30,-10,-10.0,507811.67,0.6,306165.45,0.0
1595,cassava,-30,20,40,40.0,380823.56,0.8,306165.45,0.0
1596,cassava,-40,50,-30,-30.0,380988.5,0.8,306165.45,0.0
1597,cassava,10,-40,-30,-30.0,90210.51,1399.06,126209841.9,26.16
